;"PC-1";"PC-2";"PC-3";"PC-4";"PC-5";"PC-6"
"194";-0,0001852063;0,001144359;-0,0001051713;0,0001428342;8,41548E-05;0,0002314547
"195";-0,001325598;0,0001278781;-9,381772E-06;0,0001468419;0,0001024859;-3,472557E-05
"196";-0,00138164;3,190336E-06;1,066444E-05;0,0001768346;9,474564E-05;-5,808152E-05
"197";-0,0001081267;0,0002642405;0,0005192036;-0,0004268766;-0,0001612406;8,462763E-05
"198";-7,739954E-05;0,0001769035;0,0006063631;-0,0005174822;-0,000235972;0,000116704
"199";0,0004910735;0,0009868664;-0,0002349295;0,0002053517;-0,0006709758;-0,0003859951
"200";0,0004756309;0,0009141806;-0,0002330034;0,0002221433;-0,0007530695;-0,0004383323
"201";-0,005256061;0,0001415142;-1,042159E-05;-5,991655E-05;0,0001825347;9,479761E-05
"202";-0,005651866;5,186287E-05;-6,118464E-05;-7,019177E-05;0,0002374282;0,0001482329
"203";0,0008746568;-0,0003710825;-6,623404E-05;4,18305E-05;0,0001902139;-0,0001389605
"204";0,0008830422;-0,000195285;-0,0001102327;-7,086094E-07;0,0001975259;-7,987933E-05
"205";0,0008425317;0,0002278045;-0,0001739148;-7,960164E-05;0,000189517;-0,0001344375
"206";0,0008193202;0,0004073152;-0,0001849695;-1,104774E-05;0,0002250898;-0,0002205667
"207";0,0005271359;-0,0006243921;-0,0001114468;0,0004794499;-4,08572E-05;0,0001299203
"208";0,0004885045;-0,0005995104;-0,000231231;0,0004749284;-3,378753E-05;0,0001343517
"209";-0,0006701162;-0,0001906411;4,996168E-05;2,645533E-06;9,992231E-06;0,0002076723
"210";-0,0008232054;-0,0001290089;6,115232E-05;1,036431E-05;-2,632E-05;0,0002614554
"211#1";-0,0001409629;-0,001427416;0,0004296114;0,0001280566;-9,705723E-05;-5,817726E-05
"212";-1,024922E-05;-0,001163424;0,0003882405;0,0001361075;-5,159485E-05;-4,47987E-05
"213";0,0003521201;-0,0002004921;0,0002126271;0,0001224418;1,992456E-05;0,0001014099
"214";0,0004367647;-0,0002663415;0,0002139424;0,0001150969;1,35305E-05;0,0001021287
"215";0,0003901527;-0,0001948145;0,0003132263;1,437882E-06;0,0001030864;0,0002818548
"216";0,0004417379;-9,534399E-05;0,0003260351;-1,407071E-05;0,0001133791;0,0002498023
"217";-0,0006247042;-0,0002145826;0,0001786853;5,893347E-05;-5,532271E-05;0,0001310461
"218";-0,0006206497;-0,0003660237;0,0002093269;7,367026E-05;-2,07917E-05;8,241837E-05
"219";-0,001420678;-0,0001400412;3,279655E-06;-5,71728E-06;-7,485307E-05;8,625931E-05
"220";-0,001479964;-3,10952E-05;-7,477419E-05;1,536939E-05;-4,713357E-05;0,0001380256
"221";-0,0003092157;-0,0004895758;0,0001436562;-3,842332E-05;-0,0001008016;0,0001673044
"222";-0,0002823304;-0,0006372637;0,0001613317;-9,698279E-06;-0,0001293533;0,0001552553
"223";-0,0006991787;-0,0002204677;0,000165923;-1,528622E-05;-0,0001012366;0,0002157966
"224";-0,0004482784;-0,0001349289;0,0001421297;1,480774E-05;-5,767392E-05;0,000191821
"225";-0,0006884438;-0,0006092343;0,0003174799;4,770837E-05;1,305662E-05;9,488798E-05
"226";-0,0005857002;-0,0006376514;0,0003421881;4,266417E-05;2,814754E-05;8,521329E-05
"227";-0,001480079;-9,692943E-05;3,734571E-05;2,123813E-05;-2,913477E-05;0,0001809612
"228";-0,001632824;-0,0001988375;6,310939E-05;-2,424338E-05;-3,955472E-05;0,0001670503
"231";-0,0004017107;-0,001535762;-0,002857444;-0,0003112928;-0,0006536449;0,0003198243
"232";-0,0004306749;-0,001329438;-0,002672972;-0,0002714052;-0,0006119946;0,0003817435
"233";-0,0003110505;-0,0009796731;-0,002402782;-0,0002384319;-0,0005790704;0,0002925784
"234";-0,0001181291;-0,001203555;-0,002649567;-0,0002214763;-0,0006010622;0,0002206687
"235";-0,0008071499;0,0004073823;-0,0002077776;-0,0001527518;-0,000262898;-0,0001123694
"236";-0,0007472421;0,0004929092;-0,000230892;-0,000130325;-0,0002568136;-5,273128E-05
"237";-0,001615454;-3,03616E-05;2,691386E-05;4,119374E-05;5,281661E-06;7,489701E-05
"238";-0,001961571;9,253824E-05;5,960073E-06;2,486305E-05;9,217631E-06;0,0001008488
"239";-0,0007977718;-0,0003144802;4,765695E-05;0,0001253123;-0,0004346419;-0,000216988
"240";-0,0008479484;-0,0004388861;3,437842E-05;7,084056E-05;-0,0004237308;-0,0003174217
"241";-0,0007477562;-0,0004292691;6,006777E-05;7,090497E-05;-0,0004125087;-0,0002584958
"242#1";-0,0007342027;-0,0003944594;3,129424E-05;8,208331E-05;-0,000425415;-0,0002869733
"243";-0,0009325236;-0,0006487485;7,622557E-05;0,000102996;-0,0004199269;-0,000409926
"244";-0,0007099124;-0,0002206171;-6,89771E-06;8,649778E-05;-0,0004459049;-0,0002032569
"245";-0,0006622589;-0,0003801014;1,633359E-05;9,346062E-05;-0,0004306072;-0,0003404929
"246";-0,0006560992;-0,000327709;4,47943E-05;8,194236E-05;-0,0004501064;-0,0003037103
"247";-0,0007589909;-0,0004477377;3,943869E-05;7,883654E-05;-0,0004296222;-0,0002880124
"248";-0,0009843332;-0,0006690403;7,402431E-05;7,677465E-05;-0,0004988829;-0,0003793827
"249";0,001098127;-0,0007774313;1,479381E-05;-2,77464E-05;0,0001046438;0,0001116987
"250";0,001018742;-0,0003886523;-0,0001343388;-8,31376E-05;0,0001662803;7,584856E-06
"251";0,0009098453;-0,0002583761;-2,11234E-05;-0,000440454;0,000108644;-3,769574E-05
"252";0,0009595012;-0,0006057136;9,853435E-05;-0,0003751066;9,245463E-05;-4,435324E-05
"253";0,001038407;-0,0006205171;-4,721457E-05;-0,0002768284;0,0002100527;2,407041E-05
"254";0,001043693;-0,0003604297;-7,980723E-05;-0,0002542476;0,000198706;-7,628394E-06
"255";0,00105291;-0,0005414625;-9,211604E-05;-6,71741E-05;0,0001341237;4,471771E-05
"256";0,001089891;-0,0006957311;-6,30753E-05;-7,469858E-05;0,000171459;8,113371E-06
"257";0,001116022;0,0001290625;-3,959319E-05;0,000337527;-8,981424E-05;0,0001825595
"258#1";0,001077808;0,0001676217;-2,566966E-05;0,0003604085;-6,832834E-05;0,0001323622
"259";0,001040951;9,600846E-05;-3,583572E-05;4,140106E-05;7,454472E-05;-0,0001378328
"260";0,001045492;9,060936E-05;-3,182136E-05;4,966054E-06;4,569078E-05;-8,226324E-05
"261";0,001013545;0,000118994;-1,965446E-06;-6,48833E-05;3,438175E-05;-0,0001189963
"262";0,001004496;0,0001412929;-3,779868E-05;1,900783E-06;5,813933E-05;-5,937198E-05
"263";0,001020233;0,0004277996;-0,0001366202;8,539169E-05;1,828429E-05;-0,0002190713
"264";0,0009768886;0,0004889147;-0,0001701291;0,0001257431;1,83441E-05;-0,0002633099
"265";-0,000496475;0,0005187787;-1,139602E-05;0,0001154864;-0,0002829046;-6,999519E-05
"266";-0,0005055916;0,000500264;-1,964021E-05;6,634579E-05;-0,0003164764;-6,209106E-05
"267";-0,0006045771;-0,0001831925;0,0001156843;0,00011264;-0,000429307;-0,0002078119
"268";-0,0008210678;-0,0002377367;0,0001193185;0,000102573;-0,0004182917;-0,0002783242
"269";-0,0008124636;-3,473742E-05;5,074002E-05;7,22229E-05;-0,0004244605;-0,0002881333
"270";-0,0005477465;0,0002811982;2,983108E-05;0,0001220447;-0,0003840239;-0,0001628799
"271";-0,00069318;-0,0003100593;0,0001593582;0,000132545;-0,0004044282;-0,0002596489
"272";-0,0007161278;-0,0003889836;0,0001170244;9,158406E-05;-0,0004316469;-0,0002686787
"273#1";0,001013985;0,0005290785;6,610915E-05;0,0003667726;-0,000300005;7,768172E-05
"274";0,0009722056;0,0005208093;0,0001094967;0,0003610282;-0,0002597892;-1,595967E-05
"275";0,00063268;8,962336E-05;6,90927E-05;0,0002157346;0,0003687956;-0,000327413
"276";0,0006501179;8,796404E-05;9,475929E-05;0,000188193;0,0003688979;-0,0003035541
"277";0,0001005355;0,0008307765;-0,0006457058;-0,00122446;0,0006897529;-5,593683E-05
"278";3,914628E-05;0,0007504317;-0,0006697312;-0,001295881;0,0007447109;-6,157672E-05
"279";0,000631573;0,00031714;2,866078E-05;0,0001555959;0,0003178795;-0,0003347487
"280";0,0006410449;0,0003261428;1,775031E-06;0,0001896499;0,0003308329;-0,0003500771
"281";-2,87931E-05;-0,0002624222;0,0002530224;1,108291E-05;-3,629038E-05;0,0001816519
"282";-1,907725E-05;-0,0004057256;0,000280565;1,78822E-05;-0,0001050206;0,0002613768
"283";0,0009596534;0,0006890714;4,543102E-05;0,0002811449;-0,0002139048;-1,357293E-05
"284";0,0009787658;0,0006989932;7,890736E-05;0,0003480033;-0,0002617234;5,932003E-06
"285";0,0006544646;0,0004641094;3,690398E-05;0,0001920583;0,0002169034;-0,0002283523
